q0,q1,q2,q3,q4,q5
-0.026015569,0.03871765,-0.08840236,-0.0021978035,0.08138973,0.314
-0.025943866,0.03957012,-0.08828941,-0.0029566006,0.081014745,0.314
-0.025997002,0.040145557,-0.08801251,-0.003395712,0.08065001,0.314
-0.02588862,0.03936353,-0.0871037,-0.0021289478,0.080873735,0.314
-0.025908887,0.039652992,-0.08672457,-0.0021375197,0.080654494,0.314
-0.02576573,0.038229987,-0.08566384,-1.1959346e-05,0.08119943,0.314
-0.025820175,0.038983937,-0.085482985,-0.0007736388,0.080740064,0.314
-0.025815964,0.038856484,-0.08501222,-0.00033164502,0.08070462,0.314
-0.025765449,0.038422387,-0.08428814,0.00043723988,0.08075848,0.314
-0.025770202,0.038569905,-0.08386212,0.0005204881,0.08057892,0.314
-0.025759948,0.038422164,-0.08335685,0.0009774545,0.08053883,0.314
-0.025752012,0.03824002,-0.082858704,0.0014704677,0.08051593,0.314
-0.025747372,0.038040023,-0.08224739,0.002019067,0.08046517,0.314
-0.025720587,0.03785799,-0.08188569,0.0024539486,0.08048751,0.314
-0.025729233,0.037664693,-0.08128829,0.002988511,0.08042594,0.314
-0.025750551,0.037488576,-0.08078641,0.003400971,0.0803644,0.314
-0.025770783,0.037402336,-0.08034651,0.0037174565,0.08027517,0.314
-0.025764963,0.03704625,-0.07966269,0.004459166,0.08027681,0.314
-0.02576721,0.03671022,-0.07913129,0.0050028986,0.08029441,0.314
-0.025790343,0.03659722,-0.07866641,0.005446802,0.080214754,0.314
-0.025822759,0.036194935,-0.07817532,0.006142021,0.080277786,0.314
-0.02587387,0.036028665,-0.07763141,0.0066056508,0.08017387,0.314
-0.025948977,0.036002874,-0.07724428,0.006766045,0.08001532,0.314
-0.025971962,0.034975898,-0.076451145,0.008277051,0.08035688,0.314
-0.026013022,0.035236236,-0.07617796,0.00812126,0.080078274,0.314
-0.026059886,0.034932252,-0.07564204,0.00870149,0.080053605,0.314
-0.026006622,0.034826245,-0.075293355,0.008987206,0.08002625,0.314
-0.026085565,0.0341542,-0.07453864,0.010085452,0.08014513,0.314
-0.026095618,0.03410097,-0.07414608,0.010212608,0.08003871,0.314
-0.026189288,0.033516098,-0.0735251,0.011143048,0.08014887,0.314
-0.026291592,0.032956008,-0.072863065,0.0120039405,0.080227815,0.314
-0.026305327,0.032895893,-0.072513156,0.012086627,0.0801452,0.314
-0.026388315,0.032514352,-0.072019786,0.012654542,0.08018458,0.314
-0.02642015,0.03240928,-0.07172833,0.012801199,0.080145314,0.314
-0.026533961,0.031777285,-0.07100797,0.01375189,0.08026873,0.314
-0.026647566,0.031736482,-0.070718214,0.013696265,0.080140896,0.314
-0.026697649,0.03149909,-0.070275396,0.01398726,0.08013805,0.314
-0.027062833,0.03135801,-0.07016762,0.014124746,0.07999072,0.314
-0.02672458,0.030847479,-0.06912587,0.014713697,0.08022969,0.314
-0.026981324,0.030792642,-0.06916854,0.014771529,0.08011937,0.314
-0.027259648,0.030631235,-0.06896161,0.014942256,0.08001127,0.314
-0.027076963,0.030058643,-0.067886315,0.015418911,0.08021643,0.314
-0.027371345,0.030010393,-0.06789415,0.015499914,0.08007719,0.314
-0.027529439,0.029792879,-0.067553066,0.015683254,0.08004702,0.314
-0.027595824,0.029542759,-0.06712838,0.015838671,0.08006473,0.314
-0.02780868,0.029264791,-0.066650115,0.016008124,0.0800237,0.314
-0.027866548,0.029087216,-0.06636204,0.016099868,0.080037884,0.314
-0.028052716,0.028801126,-0.06591041,0.016253902,0.08002168,0.314
-0.028221196,0.028531207,-0.06548114,0.016377013,0.0800234,0.314
-0.028301338,0.028296843,-0.06511045,0.016447535,0.0800438,0.314
-0.02841655,0.028064206,-0.06471873,0.01648141,0.08004863,0.314
-0.028497685,0.027833214,-0.064379245,0.016549423,0.08008673,0.314
-0.028735919,0.027511341,-0.063898735,0.016624661,0.08009475,0.314
-0.028900636,0.027254557,-0.06351824,0.016663065,0.08010527,0.314
-0.029150775,0.026974196,-0.06311793,0.016697241,0.08011339,0.314
-0.029198164,0.026732162,-0.06278065,0.016711803,0.0801753,0.314
-0.029416895,0.02641721,-0.06232456,0.016680209,0.080209136,0.314
-0.029541282,0.026177762,-0.061962593,0.016605759,0.08025061,0.314
-0.02973527,0.025932584,-0.061623354,0.01654946,0.0802843,0.314
-0.02986149,0.025699645,-0.06128834,0.016477592,0.08032529,0.314
-0.030013202,0.02535737,-0.060838576,0.016422717,0.08041434,0.314
-0.030213198,0.02509557,-0.06045964,0.016308887,0.08045117,0.314
-0.030318549,0.024882285,-0.060141917,0.016211303,0.08049122,0.314
-0.030513138,0.024590356,-0.059774935,0.016154518,0.08055852,0.314
-0.03061746,0.024367152,-0.059481453,0.016081415,0.080626614,0.314
-0.030788431,0.024006909,-0.059083533,0.01609691,0.0807388,0.314
-0.030864323,0.02381189,-0.05878045,0.015958602,0.08078779,0.314
-0.031058053,0.023497386,-0.058404185,0.015896166,0.08087018,0.314
-0.031094864,0.02338977,-0.05819837,0.015738016,0.08089926,0.314
-0.031225896,0.023060821,-0.057828862,0.015703917,0.08101617,0.314
-0.031285264,0.022948338,-0.05758911,0.015476144,0.08104132,0.314
-0.031332426,0.022680927,-0.057300776,0.015460722,0.08116196,0.314
-0.031448558,0.022517798,-0.057014268,0.015233736,0.08119179,0.314
-0.03143235,0.022386452,-0.056744147,0.015013151,0.08123873,0.314
-0.03156362,0.022173613,-0.056498386,0.014934582,0.081304915,0.314
-0.03152765,0.021984471,-0.05623002,0.014798817,0.08140897,0.314
-0.031661864,0.02182187,-0.056012373,0.014659758,0.08144869,0.314
-0.03165767,0.021497412,-0.055660218,0.014596874,0.08162304,0.314
-0.031735323,0.021420825,-0.055491325,0.014389052,0.08163341,0.314
-0.03172559,0.021124367,-0.05519498,0.014374829,0.081795305,0.314
-0.031710096,0.020969661,-0.054940104,0.014175616,0.081872456,0.314
-0.031638093,0.020855194,-0.054754555,0.014052691,0.08194825,0.314
-0.031702664,0.020579098,-0.054464873,0.01396409,0.082080014,0.314
-0.031792313,0.020465119,-0.054283407,0.013788198,0.0821058,0.314
-0.03170665,0.02028466,-0.054039836,0.013659957,0.08222667,0.314
-0.031815726,0.0201596,-0.053861957,0.013509444,0.08224898,0.314
-0.031742096,0.019992432,-0.053614385,0.013352344,0.08235203,0.314
